,Unnamed: 0,Unnamed: 0.1,Name_lap,Url,Name_clean,Price,Summary,CPU,RAM,Hardware,Card,Screen,lap_top_id,First_label
98,98,98,[Mới 99%] Laptop Asus ROG Zephyrus GX701GXR-H6072T - Intel Core i7,moi-99-laptop-asus-rog-zephyrus-gx701gxr-h6072t-intel-core-i7.html,asus rog zephyrus gx701gxr,46990000, Màn hình kích thước lớn trọng lượng nhẹ card GTX 2080 MaxQ siêu khỏe ,Intel Core i7 9750H,RAM 32GB,SSD 1TB NVMe,Card rời Nvidia RTX 2080 8GB MaxQ,17.3 inch Full HD IPS 240Hz,laptop_98,lapotp gaming cao_cấp cấu_hình khủng rog
99,99,99,[Mới 100% Full Box] Laptop Lenovo Thinkpad X1 Carbon Gen 7 20R10010US - Intel Core i5,moi-100-full-box-laptop-lenovo-thinkpad-x1-carbon-gen-7-20r10010us-intel-core-i5/p5437.html,lenovo thinkpad x1 carbon gen 7 20r10010us,34990000,Chip i5 đời 10 win 10 pro bản quyền theo máy Bảo hành 12 tháng ,Intel Core i5 10210U,RAM 8GB LDDR3,SSD 256GB NVMe,Card Intel UHD Graphics,14 Inch Full HD,laptop_99,cao_cấp
100,100,100,[Mới 100% Full Box] Laptop Asus Vivobook A14 A415EA-EB358T - Intel Core i3,moi-100-full-box-laptop-asus-vivobook-a14-a415ea-eb358t-intel-core-i3/p5960.html,asus vivobook a14 a415ea,12490000,Chip Intel đời 11 Màn hình Full HD IPS Bảo hành 24 tháng chính hãng Asus ,Intel Core i3 1115G4,RAM 4GB DDR4,SSD 256GB NVMe,Card Intel UHD Graphics,14 Inch Full HD,laptop_100,văn_phòng mỏng nhẹ thời_trang
101,101,101,[Mới 100% Full Box] Laptop Lenovo Legion 5 15ARH05 82B1000AUS - AMD Ryzen 7,moi-100-full-box-laptop-lenovo-legion-5-15arh05-82b1000aus-amd-ryzen-7/p5938.html,lenovo legion 5 15arh05 82b1000aus,15000000,Cấu hình option cao nhất R7-4800H GTX 1660Ti 16GB RAM SSD 512GB NVMe ,AMD Ryzen 7 - 4800H,RAM 16GB DDR4 (2x8GB),SSD 512GB NVMe,Card rời Nvidia GTX 1660Ti,15.6 inch Full HD IPS 144Hz 100% sRGB,laptop_101,màn_hình 300 nits 144hz 100 % srgb - lý_tưởng cho cả game và đồ_họa
102,102,102,[Mới 100% Full Box] Laptop Lenovo IdeaPad 3 15ADA05 81W100GUVN - AMD Ryzen 3,moi-100-full-box-laptop-lenovo-ideapad-3-15ada05-81w100guvn-amd-ryzen-3/p5807.html,lenovo ideapad 3 15ada05 81w100guvn,9190000,Màn hình 15 6 Inch Full HD Bảo hành 24 tháng chính hãng Lenovo ,AMD Ryzen 3 3250U,RAM 4GB DDR4,SSD 256GB NVMe,Card AMD Vega 3,15.6 Inch Full HD,laptop_102,văn_phòng giá rẻ
103,103,103,[Mới 100% Full Box] Laptop Asus X515JA-EJ605T - Intel Core i5,moi-100-full-box-laptop-asus-x515ja-ej605t-intel-core-i5.html,asus x515ja,14890000,Chip i5 đời 10 màn hình Full HD Bảo hành 24 tháng chính hãng Asus ,Intel Core i5 1035G1,RAM 8GB DDR4 (4GB sẵn + (*)4GB quà tặng),SSD 512GB NVMe,Card Intel UHD 620,15.6 Inch Full HD,laptop_103,văn_phòng thời_trang
104,104,104,[Mới 100% Full Box] Laptop MSI GF63 Thin 9SCSR 1057VN - Intel Core i5,moi-100-full-box-laptop-msi-gf63-thin-9scsr-1057vn-intel-core-i5/p5858.html,msi gf63 thin 9scsr 1057vn,19490000,Màn hình 144Hz card rời GTX 1650Ti MaxQ Bảo hành 12 tháng chính hãng MSI ,Intel Core i5 9300H,RAM 8GB DDR4,SSD 512GB NVMe,Card rời GTX 1650Ti MaxQ 4GDDR6,15.6 Inch Full HD 144Hz,laptop_104,gaming mỏng nhẹ
105,105,105,[Mới 100% Full Box] Laptop Dell Vostro 3405 V4R53500U001W - AMD Ryzen 5,moi-100-full-box-laptop-dell-vostro-3405-v4r53500u001w-amd-ryzen-5/p5824.html,dell vostro 3405 v4r53500u001w,11990000,Màn hình Full HD Chip Card AMD đa nhiệm cực khỏe Bảo hành 12 tháng chính hãng Dell ,AMD Ryzen 5 3500U,RAM 4GB DDR4,SSD 256GB NVMe,Card AMD Radeon Vega 8,14 Inch Full HD,laptop_105,văn_phòng giá rẻ
106,106,106,[Mới 100% Full Box] Laptop Dell Inspiron G3 G3500B P89F002 (2020) - Intel Core i7,moi-100-full-box-laptop-dell-inspiron-g3-g3500b-p89f002-2020-intel-core-i7/p5767.html,dell inspiron g3 g3500b p89f002 (2020),29490000,6 Inch IPS 120Hz Card rời GTX 1660Ti 6GB Bảo hành 12 tháng chính hãng Dell ,Intel Core i7 10750H,RAM 16GB DDR4,SSD 512GB NVMe,Card rời GTX 1660Ti 6GB,15.6 Inch Full HD 120Hz,laptop_106,màn_hình 15
107,107,107,[Mới 100% Full Box] Laptop MSI GF63 Thin 9SCXR 075VN - Intel Core i5,moi-100-full-box-laptop-msi-gf63-thin-9scxr-075vn-intel-core-i5/p5676.html,msi gf63 thin 9scxr 075vn,17990000,Card rời GTX 1650 MaxQ 4GB Bảo hành chính hãng 12 tháng ,Intel Core i5 9300H,RAM 8GB DDR4,SSD 512GB NVMe,Card rời Nvidia GTX 1650 MaxQ 4GB,15.6 Inch Full HD,laptop_107,gaming mỏng nhẹ
108,108,108,[Mới 100% Full Box] Laptop MSI GF63 Thin 10SCSR 830VN - Intel Core i7,moi-100-full-box-laptop-msi-gf63-thin-10scsr-830vn-intel-core-i7/p5665.html,msi gf63 thin 10scsr 830vn,22990000,Card rời GTX 1650Ti Max-Q 4GB màn hình 144Hz Bảo hành 12 tháng chính hãng MSI ,Intel Core i7 10750H,RAM 8GB DDR4,SSD 512GB NVMe,Card rời GTX 1650Ti Max-Q 4GDDR6,15.6 Inch Full HD 144Hz,laptop_108,gaming mỏng nhẹ
109,109,109,[Mới 100% Full box] Laptop Acer Aspire 3 A315-23-R0ML - AMD Ryzen 3,moi-100-full-box-laptop-acer-aspire-3-a315-23-r0ml-amd-ryzen-3/p5280.html,acer aspire 3 a315,10490000,Bảo hành chính hãng Acer Việt Nam ,AMD Ryzen 3 3250U,RAM 4GB DDR4,SSD 512GB NVMe,Card AMD Vega 3,15.6 Inch Full HD,laptop_109,văn_phòng giá rẻ
110,110,110,[Mới 100% Full box] Laptop LG Gram 2020 14Z90N-V.AR52A5 - Hàng chính hãng,moi-100-full-box-laptop-lg-gram-2020-14z90n-v.ar52a5-hang-chinh-hang/p5121.html,lg gram 2020 14z90n,23990000,,Intel Core i5-1035G7,RAM 8GB DDR4,SSD 256GB NVMe,Card onboard Intel® Iris® Plus Graphics,14 Inch Full HD,laptop_110,✔ windows 10 bản_quyền
111,111,111,[Mới 100% Full Box] Laptop Dell Vostro 3590 GRMGK2 - Intel Core i7,moi-100-full-box-laptop-dell-vostro-3590-grmgk2-intel-core-i7/p4986.html,dell vostro 3590 grmgk2,15000000,Bảo hành tận nhà 12 tháng ,Intel Core i7 10510U,RAM 8GB,SSD NVMe 256GB,AMD Radeon 610 2GB,15.6 Inch Full HD,laptop_111,bền_bỉ có card rời
112,112,112,[Mới 100% Full box] Laptop LG Gram 2020 14ZD90N-V.AX53A5 - Hàng chính hãng,moi-100-full-box-laptop-lg-gram-2020-14zd90n-v.ax53a5-hang-chinh-hang/p5122.html,lg gram 2020 14zd90n,22900000, Cấu hình cao màn đẹp giá cực tốt ,Intel Core i5 -1035G7,RAM 8GB DDR4,SSD 256GB NVMe,Card onboard Intel® Iris® Plus Graphics,14 Inch Full HD,laptop_112,lg gram siêu nhẹ siêu bền_bỉ cứng_cáp
113,113,113,[Mới 100% Full Box] Laptop Asus Zenbook Q407IQ-BR5N4 - AMD Ryzen 5,moi-100-full-box-laptop-asus-zenbook-q407iq-br5n4-amd-ryzen-5/p5961.html,asus zenbook q407iq,18990000,15kg  Card rời Geforce MX350 2GB  Màn hình Full HD IPS chuẩn  Bảo hành 12 tháng  ,AMD Ryzen 5 4500U,RAM 8GB LPDDR4,SSD 256GB NVMe,Card rời Geforce MX350 2GB,14 Inch Full HD 100% sRGB,laptop_113,văn_phòng cao_cấp sang_trọng mỏng nhẹ chỉ khoảng 1
114,114,114,[Mới 100% Full Box] Laptop Asus Vivobook A14 A415EA-EB360T - Intel Core i5,moi-100-full-box-laptop-asus-vivobook-a14-a415ea-eb360t-intel-core-i5/p5879.html,asus vivobook a14 a415ea,16890000,Chip Intel đời 11 Màn hình full HD Bảo hành 24 tháng chính hãng Asus ,Intel Core i5 1135G7,RAM 8GB DDR4,SSD 512GB NVMe,Card Intel® Iris® Xe Graphics,14 Inch Full HD,laptop_114,thời_trang mỏng nhẹ
115,115,115,[Mới 100% Full Box] Laptop Asus Vivobook A15 A515EA-BQ489T/BQ491T/BQ490T - Intel Core i3,moi-100-full-box-laptop-asus-vivobook-a15-a515ea-bq489tbq491tbq490t-intel-core-i3/p5885.html,asus vivobook a15 a515ea,10000000,,Other,Other,Other,Other,Other,laptop_115,other
